No,Source title,Link,Keywords
0,The world through the computer: Computer augmented interaction with real world environments,https://www.sonycsl.co.jp/person/rekimoto/papers/uist95.pdf,"['x', 'world', 'word', 'word', 'wish']"
1,THE ALOHA SYSTEM: another alternative for computer communications,https://apps.dtic.mil/dtic/tr/fulltext/u2/707853.pdf,"['yj', 'x', 'write', 'would', 'world']"
2,Keyless flat panel portable computer--computer aided notebook,https://patentimages.storage.googleapis.com/f1/6d/05/25f3f2c69c74b8/US5049862.pdf,"['year', 'x', 'write', 'write', 'word']"
3,Gummi: a bendable computer,http://www.ivanpoupyrev.com/e-library/2004/CHI2004_gummi.pdf,"['zoom', 'zoom', 'would', 'world', 'word']"
4,Computer recreations,http://paulbourke.net/fractals/peterdejong/peterdejong.pdf,"['zones', 'xsin', 'x', 'write', 'write']"
5,How computer systems embody values,https://nissenbaum.tech.cornell.edu/papers/How%20Computer%20Systems%20Embody%20Values.pdf,"['year', 'year', 'write', 'would', 'world']"
